!GEAR.DAT - Gear data file for most shadowrun gear
!-------------------------------------------------
!
! This file originated with Paolo's Gear.Dat file. It now includes
! data from most sourcebooks and some things from the web. See
! BOOKS.DAT for a list of source books and for control of which
! books are included by software.
!
!
! 02/01/96 Paolo M: provide original version
! 02/04/96 JW: update
!          Gurth: add accessories field to firearms
! 08/13/99 McMackie: eliminate duplicate entries and add SR3 support
! 06/10/02 Wordman: add weapon entries and many corrections
! 12/14/02 Jon Yarwood: add SOTA entries
! 01/03/03 Josef Wegner: add Target: Wastelands entries
! 10/17/03 TinkerGnome: add Biotech from M&M
! 11/14/03 TinkerGnome: update lots of stuff with Ratings
! 02/21/04 OurTeam: corrections
! 04/18/04 TinkerGnome: Added skillsoft jukeboxes, rearranged firearms, added much chemtech
! 12/03/04 Thistledown: added SOTA2064
!-------
! Types (Formats):
0-1|Edged weapon|10|Concealability|Reach|Damage|Weight|Availability|$Cost|Street Index|Book.Page|Legal|Notes|
0-2|Bow and crossbow|9|Concealability|Str.Min.|Damage|Weight|Availability|$Cost|Street Index|Legal|Book.Page|
0-3|Firearms|10|Concealability|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Accessories|Book.Page|
0-4|Rockets and Missiles|9|Intelligence|Damage|Blast|Scatter|Weight|Availability|$Cost|Street Index|Book.Page|
0-5|Ammunition|7|Concealability|Damage|Weight|Availability|$Cost|Street Index|Book.Page|
0-6|Firearms Accessories|9|Mount|Concealability|Rating|Weight|Availability|$Cost|Street Index|Notes|Book.Page|
0-7|Explosives|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-8|Clothing and Armor|8|Concealability|Ballistic|Impact|Weight|Availability|$Cost|Street Index|Book.Page|
0-9|S+S Vision Enhancers|7|Concealability|Mag:|Weight|Availability|$Cost|Street Index|Book.Page|
0-10|Surveillance and Security|6|Concealability|Weight|Availability|$Cost|Street Index|Book.Page|
0-11|Custom Gear|6|Concealability|Weight|$Cost|Street Index|Availability|Book.Page|
0-12|Cyberdeck Other|4|Availability|$Cost|Street Index|Book.Page|
0-13|Biotech|6|Rating|Availability|Weight|$Cost|Street Index|Book.Page|
0-14|Lifestyle|6|Concealability|Weight|Availability|$Cost|Street Index|Book.Page|
0-15|Magical Equipment|5|KarmaCost|Availability|$Cost|Street Index|Book.Page|
0-17|Cars|10|Handling|Speed|Body|Armor|Sig|Apilot|Availability|$Cost|Street Index|Book.Page|
0-18|VehicleGear|4|Availability|$Cost|Street Index|Book.Page|
0-19|VehicleFire|9|Type|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Book.Page|
0-20|Chips|7|Type|Rating|Memory|Availability|$Cost|Street Index|Book.Page|
0-21|Stuff With Ratings|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-22|Drugs|7|Addiction|Tolerance|Edge|Availability|$Cost|Street Index|Book.Page|
0-23|Vehicle Modifications|4|$Cost|Equipment|CF|Book.Page|
0-24|SR3 Cars|11|Handling|Speed/Accel|Body/Armor|Sig/Autonav|Pilot/Sensor|Cargo/Load|Seating|$Cost|Avail|Street Index|Book.Page|
0-25|Lifestyle2|2|$Cost|Book.Page|
0-26|Extras|2|$Cost|Book.Page|
0-27|Miscellaneous Weapons|8|Intelligence|Concealability|Weight|$Cost|Availability|Street Index|Accessories|Book.Page|
0-28|Simsence|4|Availability|$Cost|Street Index|Book.Page|
0-29|Chemical s|8|Origin|Rating|Speed|Vector|Availability|$Cost|Street Index|Book.Page|
0-30|Pocket Secretaries|11|Form|Concealability|Weight|Memory|ECCM|Data Encrypt|Comm Encrypt|$Cost|Street Index|Legal|Book.Page|
0-31|FireForce Storage Frames|5|Weight|Points|$Cost|Notes|Book.Page|
0-32|FireForce Attachments|4|Points Used|$Cost|Notes|Book.Page|
0-33|Cyberdeck Other|5|Availability|$Cost|Multiplier|Street Index|Book.Page|
0-34|Toxins|7|Damage|Vector|Speed|Availability|$Cost|Street Index|Book.Page|
0-35|Nanoware Ratings|6|Type|Rating|Availability|$Cost|Street Index|Book.Page|
0-36|OCC Encoders|6|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-37|Cyberdeck Otaku|7|Availability|$Cost|Street Index|Multiplier|KarmaCost|Notes|Book.Page|
0-38|Credstick|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
!--------------------------------------------------------------------------------
!   1234567890123456789012345678901234567890123
1-Weapons
2-Melee weapons
3-Edged weapons
4-* Axe(EDG)                       1|2|1|(STR)S|2.5|2/4hrs|60|1|cb1.2|||
2-Assault cannon ammunition
3-* Assault Cannon Rnds            5|3|-|.125|5/3days|45|2|sr3.281|
3-* AV Assault Cannon Rnds         5|3|(As Weapon)|.15|16/2wks|100|4|cc.40|
3-* Extra High Impact              5|3|special|.15|8/4 days|1000|2.25|sr2.???|
2-Miscellaneous Ammunition
3-* Gyrojet Rockets (Stand.)(10)   5|8|(As Weapon)|1.75|4/48hrs|80|2.5|cc.40|
3-* Gyrojet Rockets (Plus)  (10)   5|8|(See Rules)|2|14/3wks|120|4|cc.40|
3-* Gyrojet Seeker Heads Stand(10) 5|7|(As Rocket)|.25|5/72hrs|160|2.5|cc.40|
3-* Gyrojet Seeker Heads Plus.(10) 5|7|(As Rocket)|.25|15/4.5wks|240|4|cc.40|
3-* Net Rnds (Normal)              5|7|(See Rules)|5|4/48hrs|1500|1|cc.40|
3-* Net Rnds (Large)               5|5|(See Rules)|7.5|4/48hrs|3000|1|cc.40|
3-* Speargun Spears                5|8|(As Weapon)|10|2/24hrs|500|2|cc.40|
2-Rockets (per rocket)
3-* Anti-Personnel Rocket          4|NA|16D|-1/.5m|2D6+2|2|8/14days|1000|2|sr3.281|
3-* Anti-Vehicle Rocket            4|NA|16D|-8/m|2D6|3|8/14days|2000|2|sr3.281|
3-* Arbelast II MAW Rocket         4|4|15D(HE)|-1/.5m|2D6+2|2.5|8/48hrs|900|2|cc.28|
3-* Briefcase Rocket               4|4|12D(HE)|-1/.5m|2D6+2|2.5|6/36hrs|750|2|cc.28|
3-* High-Explosive Rocket          4|NA|16D|-1/m|2D6+2|2|8/14days|1500|2|sr3.281|
3-* M79B1 LAW Rocket               4|4|12D(HE)|-1/.5m|2D6+2|2.5|6/36hrs|750|2|cc.28|
3-* MP Jabberwocky Rocket          4|3|(Special)|(Special)|2D6|20|12/3wks|7000|5|cc.44|
3-* Seeker Head                    4|-|(As Rocket)|(As Rocket)|(As Rocket)|+.5|+2/+1wk|+1000|+1|cc.44|
3-* Zapper Rocket                  4|NA|16D|-10/m|2D6|25|10/2wks|2500|2.5|cc.44|
3-Cigarette Micro-Rocket
4-* Anti-Personnel rocket (cig)    3|12|1|SS|8S(f)|-|12/6days|120|3|delayed shot|sta2.35|
4-* (12pk)AP rocket (cig)          3|12|1|SS|8S(f)|-|12/6days|1440|3|delayed shot|sta2.35|
4-* High-Explosive rocket (cig)    3|12|1|SS|10M|-|12/6days|120|3|delayed shot|sta2.35|
4-* (12pk)HE rocket (cig)          3|12|1|SS|10M|-|12/6days|1440|3|delayed shot|sta2.35|
2-Missiles (per missile)
3-* Anti-Personnel Missle          4|3|16D|-1/.5m|2D6+2|2.25|12/14days|2500|3|sr3.281|
3-* Anti-Vehicle Missile           4|4|16D|-8/m|2D6|3.25|12/14days|5000|3|sr3.281|
3-* Great Dragon AT Guided Missile 4|4|20D(AV)|-5/m|2D6|3|8/48hrs|1000|2|cc.28|
3-* High-Explosive Missile         4|3|16D|-1/m|2D6+2|2.25|12/14days|3750|3|sr3.281|
3-* MP Jabberwocky Missle          4|NA|(Special)|(Special)|2D6|20|12/3wks|6000|5|cc.44|
3-* Surface-to-Air Missle (SAM)    4|4|13D|-2/m|2D6|1.5|18/3wks|2500|4|cc.44|
3-* Seeker Head                    4|-|(As Missile)|(As Missile)|(As Missile)|+.5|+2/+1wk|+1000|+1|cc.44|
3-* Vogeljager Missile             4|5|14D(AV)|-2/m|2D6|17|18/28days|5000|4|cc.28|
2-Micromissiles (per missile)
3-* Anti-Armor Micromissile        4|2|12M|||.25|16/14ays|750|2|sr2.???|
3-* HEP Micromissile               4|NA|14M|||.25|12/14days|200|2|sr2.???|
3-* Normal Micromissile            4|2|12M|||.25|14/14days|500|2|sr2.???|
2-Ballista rounds (per round)
3-* Ballista Round Mark I          4|NA|14D(AV)|-7/m|2D6|2.75|12/21days|1000|4|cc.28|
3-* Ballista Round Mark II         4|5|14D(AV)|-7/m|2D6|2.75|14/28days|2000|4|cc.28|
3-* Ballista Round Mark III        4|6|14D(AV)|-7/m|2D6|2.75|18/28days|2500|4|cc.28|
2-Mortar rounds (per round)
3-* AP Mortar Round B:-1/m         5|3|18D(f)|4|18/2wks|250|3|cc.43|
3-* AV Mortar Round B:-4/m         5|3|16D|4|18/3wks|250|4|cc.43|
3-* Duel Charge Round B:Special    5|3|(Special)|5|18/3wks|500|4|cc.43|
3-* HE Mortar Round B:-1/.5m       5|3|18D|4|18/2wks|200|3|cc.43|
3-* Incendiary Round B:-           5|3|(Special)|4|18/2wks|150|3|cc.43|
3-* Seeker Round B:As Round        5|-|(As Round)|+.5|+2/+1wk|+1000|+1|cc.43|
3-* Smoke Mortar Round             5|3|-|3.5|18/2wks|175|2|cc.43|
3-* Smoke (IR) Mortar Round        5|3|-|3.5|18/3wks|200|3|cc.43|
3-* Solar Mortar Round B:Special   5|3|(Special)|3.5|18/2wks|200|2|cc.43|
3-* Splash Mortar Round B:Special  5|3|(Special)|5|18/1wk|300|3|cc.43|
3-* White Phosphorus Round B:-1/m  5|3|15S/12L|4|18/2wks|350|3|cc.43|
2-Netgun nets (per net)
3-* Arasaka Restraint Caster (20)  5|5|none|.75|6/72hrs|60|2|cb1.6|
3-* Arasaka Rest. Cas. Solvant(10) 5|5|none|.4|6/72hrs|10|2|cb1.6|
3-* Carbosteel Wire Net            5|5|10S Stun|1|6/48hrs|100|2|sr2.???|
3-* FEN Dz-55 Det-Web              5|5|8D|2|10/72hrs|450|3|sr2.???|
3-* Large Net                      5|5|none|.75|8/48hrs|300|2|cs.70|
3-* Small Net                      5|7|none|.5|6/48hrs|150|2|cs.70|
2-Spetsdod rounds (per round)
3-* DTox Spetsdod Round            5|8|3D|*|14/14days|GM|GM|sr2.???|
3-* ShokTox Spetsdod Round         5|8|6D Stun|*|4/48hrs|200|1|sr2.???|
3-* SPAZM Spetsdod Round           5|8|6D+Special|*|14/30days|GM|GM|sr2.???|
3-* Stinger Spetsdod Round         5|8|(see rules)|*|4/48hrs|100|1|sr2.???|
1-Explosives
2-Grenades
3-Aerodynamic Grenades
4-* Chaff (ECM) Grenade (A)        5|6|Special|.5|4/4days|30|1.5|tss.16|
4-* Concussion Grenade B:-1/m (A)  5|6|12M Stun|.25|5/4days|30|2|sr3.283|
4-* Concussion Grenade (A)         5|7|10M Stun|.25|6/72hrs|40|1.2|cb1.32|
4-* Crawler Grenade (A)            5|6|(see rules)|.25|20/14 days|150|6|sr2.???|
4-* CS Grenade (A)                 5|5|tear gas|.5|6/4 days|75|2.5|sr2.???|
4-* Dual Charge Grenade (A)        5|5|(Special)|.5|8/1wk|150|3|cc.41|
4-* Def AP Grenade B:-1/.5m (A)    5|6|10S(f)|.25|4/4days|30|2|sr3.283|
4-* Def HE Grenade B:-1/.5m (A)    5|6|10S|.25|4/4days|30|2|sr3.283|
4-* EMP Grenade (A)                5|6|(Special)|.3|10/10days|400|4|sr2.???|
4-* Explosive Grenade (A)          5|7|6M|.25|6/72hrs|25|1.5|sr2.???|
4-* FEN Dz 22 "Saucer Grenade" (A) 5|7|8S|.25|6/10days|65|3|sr2.???|
4-* Finger Bomb (A)                5|10|8M|.1|6/6days|35|1.5|cb1.25|
4-* Flare Grenade (A)              5|6|(Special)|.25|2/24hrs|40|1|cc.41|
4-* Flash Grenade (A)              5|6|(Special)|.25|4/48hrs|40|1|cc.41|
4-* Flash-Pak (A)                  5|12|(Special)|.2|3/36hrs|250|1|sr3.283|
4-* Flashbang Grenade (A)          5|6|12M Stun|.25|8/6days|80|2.25|sr2.???|
4-* Foam Grenade (A)               5|6|-|.25|3/48hrs|30|.9|sr2.???|
4-* Fragmentation mini-grenade (A) 5|8|10D(f)|.1|8/4days|50|3|sr2.???|
4-* Gas Grenade (A)                5|5|Neuro-Stun VIII|.5|8/4days|60|2|sr3.283|
4-* GPz-78 Grenade (A)             5|8|8M|.1|4/60hrs|40|1.5|cb1.33|
4-* Green Ring 4 Grenade (A)       5|6|gas|.25|10/6 days|80|2.5|sr2.???|
4-* HEP (High-Explosive Cratering) 5|8|10S (see rules)|.1|9/5days|60|2.5|sr2.???|
4-* Incendary Grenade (A)          5|8|(Special)|.5|4/4days|50|3|cc.41|
4-* Ink Grenade (A)                5|8|None|.25|4/4days|40|3|cc.41|
4-* IPE Concussion Grenade (A)     5|6|16M Stun|.5|8/1wk|70|2|cc.41|
4-* IPE Defensive AP Grenade (A)   5|6|15D(f)|.5|8/1wk|60|2|cc.41|
4-* IPE Defensive HE Grenade (A)   5|6|15S|.5|8/1wk|60|2|cc.41|
4-* IPE Offensive AP Grenade (A)   5|6|15D(f)|.5|8/1wk|60|2|cc.41|
4-* IPE Offensive HE Grenade (A)   5|6|15S|.5|8/1wk|60|2|cc.41|
4-* Limited EMP (LEMP) Grenade (A) 5|6|12M|.5|8/20days|180|2|tss.16|
4-* Mace XII Gas Grenade (A)       5|6|gas|.25|8/6days|50|2|sr2.???|
4-* Militech PDU-3 (A)             5|8|10S|.25|10/7days|150|2.5|sr2.???|
4-* Motion Restraints Grenade (A)  5|6|-|.5|6/48hrs|60|2|cb1.33|
4-* Neurostun IX Grenade (A)       5|6|gas|.25|6/6days|50|2|sr2.???|
4-* Niref D Gas Grenade (A)        5|6|gas|.25|10/6days|80|2|sr2.???|
4-* Offensive AP Grenade B:-1/m(A) 5|6|10S(f)|.25|4/4days|30|2|sr3.283|
4-* Offensive HE Grenade B:-1/m(A) 5|6|10S|.25|4/4days|30|2|sr3.283|
4-* Paint Grenade (A)              5|6|-|.25|3/48hrs|20|2|sr2.???|
4-* Scatter Grenade (A)            5|6|per charge|.25|3/48hrs|70|1.5|cb2.49,SR2-???|
4-* Smoke Grenade (A)              5|6|-|.25|3/24hrs|30|2|sr3.283,fof.48|
4-* Smoke (IR) Grenade (A)         5|6|-|.25|4/48hrs|40|2|sr3.283,fof.48|
4-* Spraypaint Grenade (A)         5|6|-|.25|2/3days|20|.9|sr2.???|
4-* Stench Bomb (A)                5|6|-|.25|3/48hrs|20|.8|sr2.???|
4-* Thermal Smoke (A)              5|6|-|.25|5/4days|40|2|sr2.???|
4-* Super Flash Grenade (A)        5|8|(Special)|.25|10/2wks|80|3|cc.41|
4-* White Phosphorus Grenade (A)   5|6|14M/10L|.25|6/5days|120|3|cc.41|
3-Non-Aerodynamic Grenades
4-* Chaff (ECM) Grenade (N)        5|6|Special|.5|4/4days|30|1.5|tss.16|
4-* Concussion Grenade B:-1/m (N)  5|6|12M Stun|.25|5/4days|30|2|sr3.283|
4-* Concussion Grenade (N)         5|7|10M Stun|.25|6/72hrs|40|1.2|cb1.32|
4-* Crawler Grenade (N)            5|6|(see rules)|.25|20/14 days|150|6|sr2.???|
4-* CS Grenade (N)                 5|5|tear gas|.5|6/4 days|75|2.5|sr2.???|
4-* Dual Charge Grenade (N)        5|5|(Special)|.5|8/1wk|150|3|cc.41|
4-* Def AP Grenade B:-1/.5m (N)    5|6|10S(f)|.25|4/4days|30|2|sr3.283|
4-* Def HE Grenade B:-1/.5m (N)    5|6|10S|.25|4/4days|30|2|sr3.283|
4-* EMP Grenade (N)                5|6|(Special)|.3|10/10days|400|4|sr2.???|
4-* Explosive Grenade (N)          5|7|6M|.25|6/72hrs|25|1.5|sr2.???|
4-* FEN Dz 22 "Saucer Grenade" (N) 5|7|8S|.25|6/10days|65|3|sr2.???|
4-* Finger Bomb (N)                5|10|8M|.1|6/6days|35|1.5|cb1.25|
4-* Flare Grenade (N)              5|6|(Special)|.25|2/24hrs|40|1|cc.41|
4-* Flash Grenade (N)              5|6|(Special)|.25|4/48hrs|40|1|cc.41|
4-* Flash-Pak (N)                  5|12|(Special)|.2|3/36hrs|250|1|sr3.283|
4-* Flashbang Grenade (N)          5|6|12M Stun|.25|8/6days|80|2.25|sr2.???|
4-* Foam Grenade (N)               5|6|-|.25|3/48hrs|30|.9|sr2.???|
4-* Fragmentation mini-grenade (N) 5|8|10D(f)|.1|8/4days|50|3|sr2.???|
4-* Gas Grenade (N)                5|5|Neuro-Stun VIII|.5|8/4days|60|2|sr3.283|
4-* GPz-78 Grenade (N)             5|8|8M|.1|4/60hrs|40|1.5|cb1.33|
4-* Green Ring 4 Grenade (N)       5|6|gas|.25|10/6 days|80|2.5|sr2.???|
4-* HEP (High-Explosive Cratering) 5|8|10S (see rules)|.1|9/5days|60|2.5|sr2.???|
4-* Incendary Grenade (N)          5|8|(Special)|.5|4/4days|50|3|cc.41|
4-* Ink Grenade (N)                5|8|None|.25|4/4days|40|3|cc.41|
4-* IPE Concussion Grenade (N)     5|6|16M Stun|.5|8/1wk|70|2|cc.41|
4-* IPE Defensive AP Grenade (N)   5|6|15D(f)|.5|8/1wk|60|2|cc.41|
4-* IPE Defensive HE Grenade (N)   5|6|15S|.5|8/1wk|60|2|cc.41|
4-* IPE Offensive AP Grenade (N)   5|6|15D(f)|.5|8/1wk|60|2|cc.41|
4-* IPE Offensive HE Grenade (N)   5|6|15S|.5|8/1wk|60|2|cc.41|
4-* Limited EMP (LEMP) Grenade (N) 5|6|12M|.5|8/20days|180|2|tss.16|
4-* Mace XII Gas Grenade (N)       5|6|gas|.25|8/6days|50|2|sr2.???|
4-* Militech PDU-3 (N)             5|8|10S|.25|10/7days|150|2.5|sr2.???|
4-* Motion Restraints Grenade (N)  5|6|-|.5|6/48hrs|60|2|cb1.33|
4-* Neurostun IX Grenade (N)       5|6|gas|.25|6/6days|50|2|sr2.???|
4-* Niref D Gas Grenade (N)        5|6|gas|.25|10/6days|80|2|sr2.???|
4-* Offensive AP Grenade B:-1/m(N) 5|6|10S(f)|.25|4/4days|30|2|sr3.283|
4-* Offensive HE Grenade B:-1/m(N) 5|6|10S|.25|4/4days|30|2|sr3.283|
4-* Paint Grenade (N)              5|6|-|.25|3/48hrs|20|2|sr2.???|
4-* Scatter Grenade (N)            5|6|per charge|.25|3/48hrs|70|1.5|cb2.49,SR2-???|
4-* Smoke Grenade (N)              5|6|-|.25|3/24hrs|30|2|sr3.283,fof.48|
4-* Smoke (IR) Grenade (N)         5|6|-|.25|4/48hrs|40|2|sr3.283,fof.48|
4-* Spraypaint Grenade (N)         5|6|-|.25|2/3days|20|.9|sr2.???|
4-* Stench Bomb (N)                5|6|-|.25|3/48hrs|20|.8|sr2.???|
4-* Thermal Smoke (N)              5|6|-|.25|5/4days|40|2|sr2.???|
4-* Super Flash Grenade (N)        5|8|(Special)|.25|10/2wks|80|3|cc.41|
4-* White Phosphorus Grenade (N)   5|6|14M/10L|.25|6/5days|120|3|cc.41|
2-Splash Grenades
3-* Splash Grenade, Empty          5|5|-|1|8/4days|50|2|mm.119|
3-* Splash Grenade, Gamma-Scopol.  5|5|-|1|8/4days|3100|2|sr3.250|
3-* Splash Grenade, Insecticide    5|5|-|1|8/4days|60|2|mm.119|
3-* Splash Grenade, Slip Spray     5|5|-|1|8/4days|150|2|mm.119|
2-Mini grenades (for GrLn)
3-* Anti-Armor Minigrenade         5|8|10S|.1|8/5days|125|3.5|fof.48|
3-* Anti-Personnel Flechette       5|8|10D(f)|.1|9/14days|100|3.5|fof.48|
3-* Concussion Minigrenade B:-1/m  5|8|10M Stun|.1|7/4days|60|3|sr3.283,fof.48|
3-* Def. AP Minigrenade B:-1/.5m   5|8|10S(f)|.1|6days|60|3|sr3.283,fof.48|
3-* Def. HE Minigrenade B:-1/.5m   5|8|10S|.1|6/6days|60|3|sr3.283,fof.48|
3-* Dual Charge Minigrenade        5|8|(Special)|.1|10/9days|300|4|cc.41|
3-* Flare Minigrenade              5|8|(Special)|.1|4/24hrs|80|2|cc.41|
3-* Flash Minigrenade              5|8|(Special)|.1|6/48hrs|80|2|cc.41|
3-* Gas Minigrenade                5|8|NeuroStun|.1|10/6days|120|3|sr3.283,fof.48|
3-* Green Ring 4 Minigrenade       5|8|gas|.1|14/6days|120|3|sr2.???|
3-* Incendary Minigrenade          5|8|(Special)|.1|6/6days|100|3|cc.41|
3-* Ink Minigrenade                5|8|None|.1|6/6days|80|3|sr3.283|
3-* IPE Concussion Minigrenade     5|8|16M Stun|.1|10/9days|140|3|cc.41|
3-* IPE Defensive AP Minigrenade   5|8|15D(f)|.1|10/9days|120|3|cc.41|
3-* IPE Defensive HE Minigrenade   5|8|15S|.1|10/9days|120|3|cc.41|
3-* IPE Offensive AP Minigrenade   5|8|15D(f)|.1|10/9days|120|3|cc.41|
3-* IPE Offensive HE Minigrenade   5|8|15S|.1|10/9days|120|3|cc.41|
3-* Neurostun-Minigrenade          5|8|8M + gas|.15|12/4ays|200|3|sr2.???|
3-* Off. AP Minigrenade B:-1/m     5|8|10S(f)|.1|6/6days|60|3|sr3.283,fof.48|
3-* Off. HE Minigrenade B:-1/m     5|8|10S|.1|6/6days|60|3|sr3.283,fof.48|
3-* Smoke Minigrenade              5|8|-|.1|5/24hrs|60|3|sr3.283|
3-* Smoke (IR) Minigrenade         5|8|-|.1|6/48hrs|80|3|sr3.283|
3-* Neurostun-Minigrenade          5|8|8M + gas|.15|12/4ays|200|3|sr2.???|
3-* SplatShell Minigrenade         5|8|splatballs|.1|6/48hrs|10|1|sr2.???|
3-* Tr�nengas-Minigranate          5|8|8M|.15|4/24hrs|50|1.5|sr2.???|
3-* Super Flash Minigrenade        5|8|(Special)|.1|12/16days|160|4|cc.41|
3-* White Phosphorus Minigrenade   5|8|14M/10L|.1|8/7days|240|4|cc.41|
3-* XM1822 Adapter                 5|10|12D(f)|1|4/48hrs|300|2|ray.000|
3-* 12 Gauge Adapter               5|10|per shotgun load|.75|4/48hrs|80|2|ray.000|
3-20mm Air-timed grenades
4-Standard
5-* 20mm Offensive HE              5|10|10S (-1/m)|.25|5/4 days|100|2|ray.000|
5-* 20mm Defensive HE              5|10|10S (-0.5/m)|.25|5/4 days|100|2|ray.000|
5-* 20mm Concussion                5|10|12M stun (-1/m)|.25|5/4 days|100|2|ray.000|
5-* 20mm White Phosphorus          5|10|12M/8L (-1/m)|.25|6/5 days|440|3|ray.000|
5-* 20mm Flash                     5|10|(see rules)|.25|4/2 days|160|2|ray.000|
5-* 20mm Flechete/shot Anti-Person 5|10|10D(f) (-1/m)|.25|5/4 days|100|2|ray.000|
4-Directed Scatter (DSAT)
5-* 20mm DSAT Offensive HE         5|10|9S (-5/m)|.35|7/5 days|150|3|ray.000|
5-* 20mm DSAT Defensive HE         5|10|9S (-5/m)|.35|7/5 days|150|3|ray.000|
5-* 20mm DSAT Concussion           5|10|11M stun (-5/m)|.35|7/5 days|150|3|ray.000|
5-* 20mm DSAT White Phosphorus     5|10|11M/8L (-5/m)|.35|8/6 days|660|4|ray.000|
5-* 20mm DSAT Flash                5|10|(see rules)|.35|6/3 days|240|3|ray.000|
5-* 20mm DSAT Flech/shot A-Person  5|10|9D(f) (-5/m)|.35|7/5 days|150|3|ray.000|
4-Adjustable Trajectory (ATAT)
5-* 20mm ATAT Offensive HE         5|10|8S (-1/m)|.5|11/19 days|300|3|ray.000|
5-* 20mm ATAT Defensive HE         5|10|8S (-0.5/m)|.5|11/19 days|300|3|ray.000|
5-* 20mm ATAT Concussion           5|10|10M stun (-1/m)|.5|11/19 days|300|3|ray.000|
5-* 20mm ATAT White Phosphorus     5|10|10M/8L (-1/m)|.5|12/20 days|1320|4|ray.000|
5-* 20mm ATAT Flash                5|10|(see rules)|.5|10/17 days|480|3|ray.000|
5-* 20mm ATAT Flech/shot A-Person  5|10|8D(f) (-1/m)|.5|11/19 days|300|3|ray.000|
3-40mm Air-timed grenades
4-Standard
5-* 40mm IPE Offensive HE          5|8|15S (-1/m)|.75|5/4 days|120|2|ray.000|
5-* 40mm IPE Defensive HE          5|8|15S (-0.5/m)|.75|5/4 days|120|2|ray.000|
5-* 40mm IPE Concussion            5|8|16M stun (-1/m)|.75|5/4 days|120|2|ray.000|
5-* 40mm White Phosphorus          5|8|14M/10L (-1/m)|.75|6/5 days|480|3|ray.000|
5-* 40mm Flash                     5|8|(see rules)|.75|4/2 days|160|2|ray.000|
5-* 40mm Flechete/shot Anti-Person 5|8|15D(f) (-1/m)|.75|5/4 days|120|2|ray.000|
4-Directed Scatter (DSAT)
5-* 40mm DSAT IPE Offensive HE     5|8|14S (-5/m)|.85|7/5 days|180|3|ray.000|
5-* 40mm DSAT IPE Defensive HE     5|8|14S (-5/m)|.85|7/5 days|180|3|ray.000|
5-* 40mm DSAT IPE Concussion       5|8|15M stun (-5/m)|.85|7/5 days|180|3|ray.000|
5-* 40mm DSAT White Phosphorus     5|8|13M/8L (-5/m)|.85|8/6 days|720|4|ray.000|
5-* 40mm DSAT Flash                5|8|(see rules)|.85|6/3 days|240|3|ray.000|
5-* 40mm DSAT Flech/shot A-Person  5|8|14D(f) (-5/m)|.85|7/5 days|180|3|ray.000|
5-* 40mm DSAT Light Anti-Armor     5|8|12D(f) (-6/m)|1|20/45 days|225|3|ray.000|
4-Adjustable Trajectory (ATAT)
5-* 40mm ATAT IPE Offensive HE     5|8|13S (-1/m)|1|11/19 days|360|3|ray.000|
5-* 40mm ATAT IPE Defensive HE     5|8|13S (-0.5/m)|1|11/19 days|360|3|ray.000|
5-* 40mm ATAT IPE Concussion       5|8|14M stun (-1/m)|1|11/19 days|360|3|ray.000|
5-* 40mm ATAT White Phosphorus     5|8|12M/8L (-1/m)|1|12/20 days|1440|4|ray.000|
5-* 40mm ATAT Flash                5|8|(see rules)|1|10/17 days|480|3|ray.000|
5-* 40mm ATAT Flech/shot A-Person  5|8|10D(f) (-1/m)|1|11/19 days|360|3|ray.000|
2-Rifle grenades
3-* Anti-Tank                      5|4|16D|.5|8/8 days|100|2|sr2.???|
3-* Concussion                     5|4|12M Stun|.5|8/8 days|50|2|sr2.???|
3-* Defensive                      5|4|10S|.5|8/8 days|50|2|sr2.???|
3-* Offensive                      5|4|10S|.5|8/8 days|50|2|sr2.???|
2-Shotgun Minigrenades(Shotgun only)
3-* Concussion Shotgun Grenade     5|8|10M|.2|7/4 days|600|3|sr2.???|
3-* Defensive Shotgun Grenade      5|8|8S|.2|6/4 days|600|3|sr2.???|
3-* Offensive Shotgun Grenade      5|8|8S|.2|6/4 days|600|3|sr2.???|
3-* Smoke                          5|6|-|.25|4/4 days|30|2|sr2.???|
2-Mikrogranate(Wirtz "DemoControl")
3-* Defensive Mikrogrenade         5|9|10S|.1|6/36hrs|80|1.5|cp.36|
3-* Offensive Mikrogrenade         5|9|10S|.1|6/36hrs|80|1.5|cp.36|
3-* Schock Mikrogrenade            5|9|12M Stun|.1|8/36hrs|80|1.5|cp.36|
2-Militech 25mm pistol-grenades
3-* Concussion Pistol Grenade      5|8|8M Stun|.1|5/6 days|15|2|sr2.???|
3-* Defensive Frag Pistol Grenade  5|8|6M|.1|5/7 days|20|2|sr2.???|
3-* Flash Bomb Pistol Grenade      5|8|4L|.1|4/72hrs|15|1.2|sr2.???|
3-* HEP (Cratering) Pistol Grenade 5|8|(see rules)|.1|4/6 days|30|1.5|sr2.???|
3-* Incendiary Pistol Grenade      5|8|6M|.1|8/7 days|30|2|sr2.???|
3-* Offensive Frag Pistol Grenade  5|8|6S|.1|5/7 days|25|2|sr2.???|
3-* Smoke/Tear Gas Pistol Grenade  5|8|gas|.1|6/7 days|20|2.5|sr2.???|
2-Light recoilless rifle grenades
